CSE0000000,2018-02-02,1
CSE0000001,2017-07-07,2
CSE0000002,2003-11-23,3
CSE0000003,2018-04-25,4
CSE0000004,2001-05-24,5
CSE0000005,2021-05-23,6
CSE0000006,2015-02-27,7
CSE0000007,2010-09-03,7
CSE0000008,2000-10-12,8
CSE0000009,2003-04-30,9
CSE0000010,2013-05-09,10
CSE0000011,2017-12-11,11
CSE0000012,2021-01-11,12
CSE0000013,2021-12-16,13
CSE0000014,2005-05-08,14
CSE0000015,2015-03-26,15
CSE0000016,2013-10-25,16
CSE0000017,2002-10-03,17
CSE0000018,2008-02-24,11
CSE0000019,2004-02-01,18
CSE0000020,2011-01-23,19
CSE0000021,2001-03-06,20
CSE0000022,2011-02-02,21
CSE0000023,2006-01-16,22
CSE0000024,2011-08-03,23
CSE0000025,2017-11-07,6
CSE0000026,2019-06-12,24
CSE0000027,2021-07-22,11
CSE0000028,2009-10-21,25
CSE0000029,2011-09-05,26
CSE0000030,2012-06-05,27
CSE0000031,2009-04-14,28
CSE0000032,2015-02-14,29
CSE0000033,2018-02-05,30
CSE0000034,2009-01-16,31
CSE0000035,2019-07-03,32
CSE0000036,2021-11-29,33
CSE0000037,2001-04-11,34
CSE0000038,2003-02-02,35
CSE0000039,2000-05-18,36
CSE0000040,2010-05-16,3
CSE0000041,2013-01-20,37
CSE0000042,2006-06-30,30
CSE0000043,2018-03-27,38
CSE0000044,2006-11-22,39
CSE0000045,2003-09-11,5
CSE0000046,2004-10-27,40
CSE0000047,2007-04-03,41
CSE0000048,2000-01-25,42
CSE0000049,2017-12-16,20
CSE0000050,2019-08-30,42
CSE0000051,2017-12-04,43
CSE0000052,2002-05-11,44
CSE0000053,2001-03-09,45
CSE0000054,2007-10-07,35
CSE0000055,2020-11-04,46
CSE0000056,2008-01-09,10
CSE0000057,2013-07-20,47
CSE0000058,2009-07-07,48
CSE0000059,2012-09-14,49
CSE0000060,2016-01-22,50
CSE0000061,2000-12-14,51
CSE0000062,2000-04-27,52
CSE0000063,2011-05-31,46
CSE0000064,2019-06-12,53
CSE0000065,2012-11-22,54
CSE0000066,2013-11-26,34
CSE0000067,2020-01-09,27
CSE0000068,2020-07-12,55
CSE0000069,2015-08-15,56
CSE0000070,2022-01-04,57
CSE0000071,2015-03-04,28
CSE0000072,2014-01-03,44
CSE0000073,2008-07-06,49
CSE0000074,2016-03-15,58
CSE0000075,2010-08-29,59
CSE0000076,2016-05-10,60
CSE0000077,2009-08-18,45
CSE0000078,2016-08-28,61
CSE0000079,2005-08-08,62
CSE0000080,2012-05-07,35
CSE0000081,2001-02-05,63
CSE0000082,2003-07-18,20
CSE0000083,2011-03-05,64
CSE0000084,2011-08-18,65
CSE0000085,2009-03-08,66
CSE0000086,2006-07-18,67
CSE0000087,2015-10-01,68
CSE0000088,2003-11-10,33
CSE0000089,2003-08-21,62
CSE0000090,2002-08-08,39
CSE0000091,2019-05-20,12
