1,TvBaseR1,680,T67P542
2,ElectronicDictionary67,970,E6N2308
3,ExhaustFanD8,320,E9G8372
4,MultifunctionalT4,90,M421X86
5,ServerBarebonesH4,70,SE17564
6,LaptopDockingStation94,620,L17546O
7,DotMatrixPrinterK1,690,D8150P6
8,HumidifierY5,470,HD86793
9,PhysicalSecurityIsolation35,620,P41857Y
10,HumidifierF6,790,HD86793
11,SteeringWheel71,830,SY73215
12,HotPotJ2,230,H7143H9
13,BuildingIntercom75,80,B239N58
14,SerialCommunicationServerE9,170,S2180L4
15,CasetteLibrary26,60,C95F078
16,MicrophoneDigitalCompanionX4,730,MR92570
17,Mp437,600,M9J6453
18,ServerPowerO3,860,S5291W4
19,ToiletSeatO7,810,T35X601
20,DiskArray57,530,D7903R1
21,SecurityCameraY2,230,S86042Z
22,SecurityCamera25,570,S86042Z
23,CameraBattery26,340,C3752Y9
24,HumidifierE8,580,HD86793
25,HardDiskRecording82,450,H8713D4
26,AirConditioner27,220,A35J746
27,DvrE9,510,D56294N
28,InkCartridgeU4,890,I41V392
29,Laptop'SBatteryT2,160,L7B6430
30,PrintServer18,170,P1275R8
31,PhotoBox60,820,P4052D1
32,DotMatrixPrinter76,50,D8150P6
33,PedometerC2,780,P20O395
34,OpticalTransceiver15,60,OP18549
35,FlatFilm23,990,FK39705
36,HardDiskA7,530,H5684K7
37,MobilePhoneCarAccessories90,60,M79W815
38,TapeDrivesG3,90,T739U65
39,DesktopPc74,170,D0Q2543
40,HomeTheater94,600,HW53167
41,CardReader59,240,C741G20
42,Tester04,70,T0E9518
43,PowerSupply63,870,P968H24
44,WashingMachine56,630,W08294X
45,GameLightGunGamePeripheral93,710,G053V91
46,AntivirusAndEmailFiltering05,600,A08264O
47,OfficeSoftware20,800,O8C6513
48,ScreenSplitterA3,530,S7K6834
49,LightningProtectionProducts26,800,L47869Q
50,AirPurifierV6,900,AE80564
51,LargeFormatPrinterT5,80,L92148E
52,Cpu38,830,C02614Q
53,AntivirusSoftwareP9,480,A392R56
54,BarcodeAndCardReadingEquipment27,380,B830R57
55,OpticalTransceiver40,440,OP18549
56,FaxMachineCopierD4,820,F8E7125
57,RemoteControl83,780,R243J08
58,TvBase65,80,T67P542
59,LaminatorMoDriveH2,670,L0528N6
60,Anti-SlipMobilePhone26,580,A273M51
61,TvBase30,500,T67P542
62,Yuba80,70,YS95071
63,MonitorB2,720,M328K91
64,HotelEntertainment81,10,HI14706
65,Anti-TheftAlarmHostN4,230,A37260X
66,Charger07,70,C48967S
67,MobilePower20,930,M97X845
68,E-BookF8,940,E7R6098
69,OnlineTelephoneO8,870,O032T69
70,DatabaseSoftwareO6,80,DR28405
71,FlashAccessories41,460,F76983D
72,RouterB5,670,R5F0782
73,MultiplexerL3,550,MM72065
74,DvdPlayer89,770,DT47956
75,MicroscopeU0,290,M713N46
76,DesktopPc78,90,D0Q2543
77,PrinterH8,790,P8130N9
78,Pbx05,890,P7604Q5
